cause,classe,arrondissement,item,nom_doc,url,adresse,code_postal,erreurs,nom_txt
Problème URL,"Arrêtés de péril imminent, de Main Levée et de Réintégration partielle de la ville de Marseille",1er arrondissement,4 rue Pytheas - Arrêté modificatif du 11/02/2020,Arrêté modificatif du 11/02/2020,http://marseille.fr/sites/default/files/contenu/logement/Arretes-peril/pgi_modif-4-rue-pytheas-13001_2020_00380.pdf,4 rue Pytheas,13001.0,True,pgi_modif-4-rue-pytheas-13001_2020_00380.txt
Problème URL,"Arrêtés de péril imminent, de Main Levée et de Réintégration partielle de la ville de Marseille",1er arrondissement,15 rue Saint-Bazile : Arrêté de péril du 17/12/20108 - Main levée partielle du 24/01/2020  - Main levée du 21/02/2020,Main levée du 21/02/2020,http://marseille.fr/sites/default/files/contenu/logement/Mains_Levees/ml-15-rue-st-bazile-13001_2020_00533.pdf,15 rue Saint-Bazile,13001.0,True,ml-15-rue-st-bazile-13001_2020_00533.txt
Problème URL,"Arrêtés de péril imminent, de Main Levée et de Réintégration partielle de la ville de Marseille",1er arrondissement,62 rue d'Aubagne : Arrêté de péril du 16/01/2019 - Main Levée partielle du 13/05/2019 - Main Levée du 21/02/2020,Main Levée du 21/02/2020 ,http://marseille.fr/sites/default/files/contenu/logement/Mains_Levees/ml-62-rue-aubagne-13001_2020_00524.pdf,62 rue d'Aubagne,13001.0,True,ml-62-rue-aubagne-13001_2020_00524.txt
Problème URL,"Arrêtés de péril imminent, de Main Levée et de Réintégration partielle de la ville de Marseille",1er arrondissement,60 rue du Commandant Mages- Main Levée du 19/02/2020,Main Levée du 19/02/2020,http://marseille.fr/sites/default/files/contenu/logement/Mains_Levees/ml-60-rue-cdt-mages-13001_2020_00465.pdf,60 rue du Commandant Mages,13001.0,True,ml-60-rue-cdt-mages-13001_2020_00465.txt
Problème URL,"Arrêtés de péril imminent, de Main Levée et de Réintégration partielle de la ville de Marseille",1er arrondissement,19 rue Glandèves : Arrêté de péril du 15/02/2019 - Main levée du 21/02/2020,Main levée du 21/02/2020,http://marseille.fr/sites/default/files/contenu/logement/Mains_Levees/ml_19-rue-glandeves-13001_2020_00521_vdm.pdf,19 rue Glandèves,13001.0,True,ml_19-rue-glandeves-13001_2020_00521_vdm.txt
Problème URL,"Arrêtés de péril imminent, de Main Levée et de Réintégration partielle de la ville de Marseille",1er arrondissement,8 rue Jemmapes : Arrêté de péril du 05/06/2019 - Main levée du 19/09/2019,Main levée du 19/09/2019,http://marseille.fr/am%C3%A9lioration-de-lhabitat/sites/default/files/contenu/logement/Mains_Levees/ml_8-rue-de-jemmapes-13001_2019_03216_vdm.pdf,8 rue Jemmapes,13001.0,True,ml_8-rue-de-jemmapes-13001_2019_03216_vdm.txt
Problème URL,"Arrêtés de péril imminent, de Main Levée et de Réintégration partielle de la ville de Marseille",1er arrondissement,120 la Canebière : Main Levée partielle du 14/06/2019,Main Levée partielle du 14/06/2019,http://marseille.fr/am%C3%A9lioration-de-lhabitat/sites/default/files/contenu/logement/Mains_Levees/mlp_120_la_cannebiere-13001_2019_02012_vdm.pdf,120 la Canebière,13001.0,True,mlp_120_la_cannebiere-13001_2019_02012_vdm.txt
Problème URL,"Arrêtés de péril imminent, de Main Levée et de Réintégration partielle de la ville de Marseille",1er arrondissement,14 cours Saint-Louis / 2 rue de Rome / 2 rue Rouget de l'Isle : Arrêté de péril du 09/12/2019 - Main levée partielle du 07/02/2020,Main levée partielle du 07/02/2020,http://marseille.fr/sites/default/files/contenu/logement/Mains_Levees/2020_mlp_14-cours-saint-louis-2-rue-de-rome-2-rouget-de-lisle_2020_00319_vdm.pdf,14 cours Saint-Louis / 2 rue de Rome / 2 rue Rouget de l'Isle,13001.0,True,2020_mlp_14-cours-saint-louis-2-rue-de-rome-2-rouget-de-lisle_2020_00319_vdm.txt
Problème URL,"Arrêtés de péril imminent, de Main Levée et de Réintégration partielle de la ville de Marseille",1er arrondissement,9 rue Nationale - Arrêté modificatif du 21/02/2020,Arrêté modificatif du 21/02/2020,http://marseille.fr/sites/default/files/contenu/logement/Arretes-peril/modificatif_pgi-9-rue-nationale-13001_2020_00536.pdf,9 rue Nationale,13001.0,True,modificatif_pgi-9-rue-nationale-13001_2020_00536.txt
Problème URL,"Arrêtés de péril imminent, de Main Levée et de Réintégration partielle de la ville de Marseille",1er arrondissement,3 rue Vacon / 1 rue Halle Delacroix,3 rue Vacon / 1 rue Halle Delacroix,http://marseille.fr/sites/default/files/contenu/logement/Arretes-peril/pgi_3-rue-vacon-1-rue-halle-delacroix-13001_2020_00379_vdm.pdf,3 rue Vacon / 1 rue Halle Delacroix,13001.0,True,pgi_3-rue-vacon-1-rue-halle-delacroix-13001_2020_00379_vdm.txt
Problème URL,"Arrêtés de péril imminent, de Main Levée et de Réintégration partielle de la ville de Marseille",1er arrondissement,36 cours Franklin Roosevelt,36 cours Franklin Roosevelt,http://marseille.fr/sites/default/files/contenu/logement/Arretes-peril/36-cours-franklin-roosevelt-13001_2020_00464.pdf,36 cours Franklin Roosevelt,13001.0,True,36-cours-franklin-roosevelt-13001_2020_00464.txt
Problème URL,"Arrêtés de péril imminent, de Main Levée et de Réintégration partielle de la ville de Marseille",1er arrondissement,31 rue Chateauredon,31 rue Chateauredon,http://marseille.fr/sites/default/files/contenu/logement/Arretes-peril/31-rue-chateauredon-13001_2020_00534.pdf,31 rue Chateauredon,13001.0,True,31-rue-chateauredon-13001_2020_00534.txt
Problème URL,"Arrêtés de péril imminent, de Main Levée et de Réintégration partielle de la ville de Marseille",1er arrondissement,29 rue Chateauredon,29 rue Chateauredon,http://marseille.fr/sites/default/files/contenu/logement/Arretes-peril/29-rue-chateauredon-13001_2020_00535.pdf,29 rue Chateauredon,13001.0,True,29-rue-chateauredon-13001_2020_00535.txt
Problème URL,"Arrêtés de péril imminent, de Main Levée et de Réintégration partielle de la ville de Marseille",1er arrondissement,58 rue d'Aubagne,58 rue d'Aubagne,http://marseille.fr/sites/default/files/contenu/logement/Arretes-peril/pgi-58-rue_daubagne-13001-2020_00523.pdf,58 rue d'Aubagne,13001.0,True,pgi-58-rue_daubagne-13001-2020_00523.txt
Problème URL,"Arrêtés de péril imminent, de Main Levée et de Réintégration partielle de la ville de Marseille",2ème arrondissement,12 bis/ter rue d'Anthoine / chemin de la Madrague,12 bis/ter rue d'Anthoine / chemin de la Madrague,http://marseille.fr/sites/default/files/contenu/logement/Arretes-peril/pgi_12bis-rue-d-anthoine-chemin-de-la-madrague2020_00446_vdm.pdf,12 bis/ter rue d'Anthoine / chemin de la Madrague,13002.0,True,pgi_12bis-rue-d-anthoine-chemin-de-la-madrague2020_00446_vdm.txt
Problème URL,"Arrêtés de péril imminent, de Main Levée et de Réintégration partielle de la ville de Marseille",2ème arrondissement,29 rue Duverger,29 rue Duverger,http://marseille.fr/sites/default/files/contenu/logement/Arretes-peril/29-rue-duverger-13002_2020_00529.pdf,29 rue Duverger,13002.0,True,29-rue-duverger-13002_2020_00529.txt
Problème URL,"Arrêtés de péril imminent, de Main Levée et de Réintégration partielle de la ville de Marseille",3ème arrondissement,4bis impasse du Prophète : Arrêté du 25/01/2019 - Main levée du 10/02/2020,Main levée du 10/02/2020,http://marseille.fr/sites/default/files/contenu/logement/Mains_Levees/ml_4bis-impasse-du-prophete-13003_2020_00350_vdm.pdf,4bis impasse du Prophète,13003.0,True,ml_4bis-impasse-du-prophete-13003_2020_00350_vdm.txt
